date,symbol,name,score,shares,buy_price,sell_price,hit_limit,pnl,return_pct,cash_after
2026-04-08,000919.SZ,金陵药业,0.044120426497568366,300,8.917128,7.014384,False,-581.8753575999999,-0.21710645897987954,9418.1246424
2026-04-08,002797.SZ,第一创业,0.04385958293348366,400,7.766207999999999,15.927247999999999,False,3251.2305504000005,1.0449134195550216,12669.355192800002
2026-04-09,000078.SZ,ST海王,0.04039318625071267,800,3.8430719999999994,19.314535999999997,False,12359.445385599996,4.013513738783089,25028.800578399998
2026-04-10,000004.SZ,*ST国华,0.03781383878347699,1000,3.182544,3.527176,False,332.86841200000026,0.10442786421144312,25361.668990399998
2026-04-10,002667.SZ,*ST威领,0.03761794096986631,100,26.270999999999997,9.002792,False,-1737.2709396,-0.6600322706584096,23624.3980508
2026-04-10,002598.SZ,ST章鼓,0.03740196676376491,400,8.066448,15.78736,False,3075.207328,0.9516113137502556,26699.6053788
2026-04-13,000711.SZ,ST京蓝,0.04256034543016403,900,3.4227359999999996,6.005192,False,2311.508063600001,0.7491609891600045,29011.113442399997
2026-04-13,002431.SZ,ST棕榈,0.04193357678354948,1200,2.70216,13.898871999999999,False,13417.715076799996,4.131588905502906,42428.82851919999
2026-04-13,600759.SH,ST洲际,0.04179854774558448,500,5.7546,10.471616000000001,False,2345.890096000001,0.8138951864830173,44774.718615199985
2026-04-14,000004.SZ,*ST国华,0.04362994900530076,1000,3.3026399999999994,3.1774560000000003,False,-136.77272799999946,-0.0413505484272773,44637.94588719999
2026-04-14,603838.SH,*ST四通,0.042782895901469525,300,9.037223999999998,16.336920000000003,False,2177.4582620000015,0.8016657671147792,46815.404149199996
2026-04-14,002289.SZ,*ST宇顺,0.04260436053730926,100,25.990775999999997,34.062728,False,795.4920636000006,0.3054794003066578,47610.8962128
2026-04-15,002592.SZ,ST八菱,0.0429251064368467,400,8.186544,5.59552,False,-1047.5287040000003,-0.31940574535275096,46563.3675088
2026-04-15,600340.SH,*ST华幸,0.0428049044636252,2400,1.4011199999999997,4.326536,False,7005.806556800001,2.0803015471742046,53569.174065600004
2026-04-15,002424.SZ,ST百灵,0.04274964432517591,600,5.034024,8.713024,False,2194.786092800001,0.7254497409677171,55763.960158400005
2026-04-16,002726.SZ,ST龙大,0.04144385057592552,900,3.622896,5.575536,False,1744.8670087999994,0.5343163857101699,57508.827167200005
2026-04-16,603008.SH,ST喜临门,0.041376538779434806,200,12.620087999999999,5.515584,False,-1431.4523583999996,-0.5660112283916093,56077.37480880001
2026-04-16,000004.SZ,*ST国华,0.04083049192343467,900,3.642912,3.29736,True,-322.4806120000003,-0.0982088467706138,55754.89419680001
2026-04-17,002082.SZ,ST万邦,0.04318008133880837,100,29.303424,7.543959999999999,False,-2186.323598,-0.7448274511348318,53568.570598800005
