symbol,name,board,is_st
601991.SH,大唐发电,main,0
603005.SH,晶方科技,main,0
603026.SH,石大胜华,main,0
603061.SH,金海通,main,0
603068.SH,博通集成,main,0
603078.SH,江化微,main,0
603082.SH,北自科技,main,0
603083.SH,剑桥科技,main,0
603115.SH,海星股份,main,0
603118.SH,共进股份,main,0
603120.SH,肯特催化,main,0
603124.SH,江南新材,main,0
603137.SH,恒尚节能,main,0
603155.SH,新亚强,main,0
603186.SH,华正新材,main,0
603192.SH,汇得科技,main,0
603203.SH,快克智能,main,0
603212.SH,赛伍技术,main,0
603221.SH,爱丽家居,main,0
603222.SH,济民健康,main,0
603228.SH,景旺电子,main,0
603256.SH,宏和科技,main,0
603283.SH,赛腾股份,main,0
603296.SH,华勤技术,main,0
603306.SH,华懋科技,main,0
603311.SH,金海高科,main,0
603318.SH,水发燃气,main,0
603324.SH,盛剑科技,main,0
603331.SH,百达精工,main,0
603391.SH,力聚热能,main,0
603399.SH,永杉锂业,main,0
603400.SH,DR华之杰,main,0
603407.SH,长裕集团,main,0
603435.SH,嘉德利,main,0
603459.SH,红板科技,main,0
603488.SH,展鹏科技,main,0
603496.SH,恒为科技,main,0
603516.SH,淳中科技,main,0
603567.SH,珍宝岛,main,0
603580.SH,艾艾精工,main,0
603618.SH,杭电股份,main,0
603619.SH,中曼石油,main,0
603629.SH,利通电子,main,0
603663.SH,三祥新材,main,0
603678.SH,火炬电子,main,0
603690.SH,至纯科技,main,0
603725.SH,天安新材,main,0
603726.SH,朗迪集团,main,0
603727.SH,博迈科,main,0
603738.SH,泰晶科技,main,0
603757.SH,大元泵业,main,0
603773.SH,沃格光电,main,0
603778.SH,国晟科技,main,0
603800.SH,洪田股份,main,0
603803.SH,瑞斯康达,main,0
603823.SH,百合花,main,0
603876.SH,鼎胜新材,main,0
603879.SH,永悦科技,main,0
603890.SH,春秋电子,main,0
603893.SH,瑞芯微,main,0
603926.SH,铁流股份,main,0
603929.SH,亚翔集成,main,0
